vul,lmbda
0.001,2.425
0.002,2.425
0.003,2.375
0.004,2.325
0.005,2.275
0.006,2.225
0.007,2.175
0.008,2.175
0.009,2.125
0.01,2.075
0.011,2.075
0.012,2.025
0.013,2.025
0.014,1.975
0.015,1.925
0.016,1.925
0.017,1.875
0.018,1.875
0.019,1.825
0.02,1.825
0.021,1.775
0.022,1.775
0.023,1.775
0.024,1.725
0.025,1.725
0.026,1.675
0.027,1.675
0.028,1.675
0.029,1.625
0.03,1.625
0.031,1.575
0.032,1.575
0.033,1.575
0.034,1.525
0.035,1.525
0.036,1.525
0.037,1.525
0.038,1.475
0.039,1.475
0.04,1.475
0.041,1.425
0.042,1.425
0.043,1.425
0.044,1.425
0.045,1.375
0.046,1.375
0.047,1.375
0.048,1.375
0.049,1.325
0.05,1.325
0.051,1.325
0.052,1.325
0.053,1.275
0.054,1.275
0.055,1.275
0.056,1.275
0.057,1.275
0.058,1.225
0.059,1.225
0.06,1.225
0.061,1.225
0.062,1.225
0.063,1.175
0.064,1.175
0.065,1.175
0.066,1.175
0.067,1.175
0.068,1.175
0.069,1.125
0.07,1.125
0.071,1.125
0.072,1.125
0.073,1.125
0.074,1.125
0.075,1.075
0.076,1.075
0.077,1.075
0.078,1.075
0.079,1.075
0.08,1.075
0.081,1.075
0.082,1.025
0.083,1.025
0.084,1.025
0.085,1.025
0.086,1.025
0.087,1.025
0.088,1.025
0.089,0.975
0.09,0.975
0.091,0.975
0.092,0.975
0.093,0.975
0.094,0.975
0.095,0.975
0.096,0.975
0.097,0.925
0.098,0.925
0.099,0.925
0.1,0.925
0.101,0.925
0.102,0.925
0.103,0.925
0.104,0.925
0.105,0.925
0.106,0.925
0.107,0.875
0.108,0.875
0.109,0.875
0.11,0.875
0.111,0.875
0.112,0.875
0.113,0.875
0.114,0.875
0.115,0.875
0.116,0.875
0.117,0.825
0.118,0.825
0.119,0.825
0.12,0.825
0.121,0.825
0.122,0.825
0.123,0.825
0.124,0.825
0.125,0.825
0.126,0.825
0.127,0.825
0.128,0.775
0.129,0.775
0.13,0.775
0.131,0.775
0.132,0.775
0.133,0.775
0.134,0.775
0.135,0.775
0.136,0.775
0.137,0.775
0.138,0.775
0.139,0.775
0.14,0.775
0.141,0.725
0.142,0.725
0.143,0.725
0.144,0.725
0.145,0.725
0.146,0.725
0.147,0.725
0.148,0.725
0.149,0.725
0.15,0.725
0.151,0.725
0.152,0.725
0.153,0.725
0.154,0.725
0.155,0.725
0.156,0.675
0.157,0.675
0.158,0.675
0.159,0.675
0.16,0.675
0.161,0.675
0.162,0.675
0.163,0.675
0.164,0.675
0.165,0.675
0.166,0.675
0.167,0.675
0.168,0.675
0.169,0.675
0.17,0.675
0.171,0.675
0.172,0.625
0.173,0.625
0.174,0.625
0.175,0.625
0.176,0.625
0.177,0.625
0.178,0.625
0.179,0.625
0.18,0.625
0.181,0.625
0.182,0.625
0.183,0.625
0.184,0.625
0.185,0.625
0.186,0.625
0.187,0.625
0.188,0.625
0.189,0.625
0.19,0.575
0.191,0.575
0.192,0.575
0.193,0.575
0.194,0.575
0.195,0.575
0.196,0.575
0.197,0.575
0.198,0.575
0.199,0.575
0.2,0.575
0.201,0.575
0.202,0.575
0.203,0.575
0.204,0.575
0.205,0.575
0.206,0.575
0.207,0.575
0.208,0.575
0.209,0.575
0.21,0.575
0.211,0.575
0.212,0.525
0.213,0.525
0.214,0.525
0.215,0.525
0.216,0.525
0.217,0.525
0.218,0.525
0.219,0.525
0.22,0.525
0.221,0.525
0.222,0.525
0.223,0.525
0.224,0.525
0.225,0.525
0.226,0.525
0.227,0.525
0.228,0.525
0.229,0.525
0.23,0.525
0.231,0.525
0.232,0.525
0.233,0.525
0.234,0.525
0.235,0.525
0.236,0.475
0.237,0.475
0.238,0.475
0.239,0.475
0.24,0.475
0.241,0.475
0.242,0.475
0.243,0.475
0.244,0.475
0.245,0.475
0.246,0.475
0.247,0.475
0.248,0.475
0.249,0.475
0.25,0.475
0.251,0.475
0.252,0.475
0.253,0.475
0.254,0.475
0.255,0.475
0.256,0.475
0.257,0.475
0.258,0.475
0.259,0.475
0.26,0.475
0.261,0.475
0.262,0.475
0.263,0.475
0.264,0.425
0.265,0.425
0.266,0.425
0.267,0.425
0.268,0.425
0.269,0.425
0.27,0.425
0.271,0.425
0.272,0.425
0.273,0.425
0.274,0.425
0.275,0.425
0.276,0.425
0.277,0.425
0.278,0.425
0.279,0.425
0.28,0.425
0.281,0.425
0.282,0.425
0.283,0.425
0.284,0.425
0.285,0.425
0.286,0.425
0.287,0.425
0.288,0.425
0.289,0.425
0.29,0.425
0.291,0.425
0.292,0.425
0.293,0.425
0.294,0.425
0.295,0.425
0.296,0.425
0.297,0.375
0.298,0.375
0.299,0.375
0.3,0.375
0.301,0.375
0.302,0.375
0.303,0.375
0.304,0.375
0.305,0.375
0.306,0.375
0.307,0.375
0.308,0.375
0.309,0.375
0.31,0.375
0.311,0.375
0.312,0.375
0.313,0.375
0.314,0.375
0.315,0.375
0.316,0.375
0.317,0.375
0.318,0.375
0.319,0.375
0.32,0.375
0.321,0.375
0.322,0.375
0.323,0.375
0.324,0.375
0.325,0.375
0.326,0.375
0.327,0.375
0.328,0.375
0.329,0.375
0.33,0.375
0.331,0.375
0.332,0.375
0.333,0.375
0.334,0.375
0.335,0.325
0.336,0.325
0.337,0.325
0.338,0.325
0.339,0.325
0.34,0.325
0.341,0.325
0.342,0.325
0.343,0.325
0.344,0.325
0.345,0.325
0.346,0.325
0.347,0.325
0.348,0.325
0.349,0.325
0.35,0.325
0.351,0.325
0.352,0.325
0.353,0.325
0.354,0.325
0.355,0.325
0.356,0.325
0.357,0.325
0.358,0.325
0.359,0.325
0.36,0.325
0.361,0.325
0.362,0.325
0.363,0.325
0.364,0.325
0.365,0.325
0.366,0.325
0.367,0.325
0.368,0.325
0.369,0.325
0.37,0.325
0.371,0.325
0.372,0.325
0.373,0.325
0.374,0.325
0.375,0.325
0.376,0.325
0.377,0.325
0.378,0.325
0.379,0.325
0.38,0.275
0.381,0.275
0.382,0.275
0.383,0.275
0.384,0.275
0.385,0.275
0.386,0.275
0.387,0.275
0.388,0.275
0.389,0.275
0.39,0.275
0.391,0.275
0.392,0.275
0.393,0.275
0.394,0.275
0.395,0.275
0.396,0.275
0.397,0.275
0.398,0.275
0.399,0.275
0.4,0.275
0.401,0.275
0.402,0.275
0.403,0.275
0.404,0.275
0.405,0.275
0.406,0.275
0.407,0.275
0.408,0.275
0.409,0.275
0.41,0.275
0.411,0.275
0.412,0.275
0.413,0.275
0.414,0.275
0.415,0.275
0.416,0.275
0.417,0.275
0.418,0.275
0.419,0.275
0.42,0.275
0.421,0.275
0.422,0.275
0.423,0.275
0.424,0.275
0.425,0.275
0.426,0.275
0.427,0.275
0.428,0.275
0.429,0.275
0.43,0.275
0.431,0.275
0.432,0.225
0.433,0.225
0.434,0.225
0.435,0.225
